NO. 156	(0,1,1,15,25)
NO. 157	(1,1,1,15,24)
NO. 158	(0,2,1,16,25)
NO. 159	(0,2,1,15,25)
NO. 160	(0,1,1,15,26)
NO. 161	(1,1,1,14,22)
NO. 162	(0,2,1,14,23)
NO. 163	(0,2,1,15,23)
NO. 164	(0,1,1,16,24)
NO. 165	(1,1,1,13,23)
NO. 166	(0,2,1,14,24)
NO. 167	(0,2,1,15,24)
NO. 168	(0,1,1,14,25)
NO. 169	(1,1,1,15,23)
NO. 170	(0,2,1,15,24)
NO. 171	(0,2,1,16,24)
NO. 172	(0,1,1,16,25)
NO. 173	(1,1,1,14,24)
NO. 174	(0,2,1,15,25)
NO. 175	(0,2,1,16,25)
NO. 176	(0,1,1,15,26)
NO. 177	(1,1,1,15,23)
NO. 178	(0,2,1,15,24)
NO. 179	(0,2,1,16,24)
NO. 180	(0,1,1,16,25)
NO. 181	(1,1,1,14,24)
NO. 182	(0,2,1,15,25)
NO. 183	(0,2,1,16,25)
NO. 184	(0,1,1,15,26)
NO. 185	(1,1,1,14,24)
NO. 186	(0,2,1,15,25)
NO. 187	(0,2,1,15,25)
NO. 188	(0,1,1,15,26)
NO. 189	(1,1,1,14,25)
NO. 190	(0,2,1,15,26)
NO. 191	(0,2,1,15,26)
NO. 192	(0,1,1,14,27)
NO. 193	(1,1,1,13,22)
NO. 194	(0,2,1,13,23)
NO. 195	(0,2,1,15,23)
NO. 196	(0,1,1,14,24)
NO. 197	(1,1,1,12,23)
NO. 198	(0,2,1,13,24)
NO. 199	(0,2,1,15,24)
NO. 200	(0,1,1,14,25)
NO. 201	(1,1,1,15,23)
NO. 202	(0,2,1,17,24)
NO. 203	(0,2,1,16,24)
NO. 204	(0,1,1,16,25)
NO. 205	(1,1,1,16,24)
NO. 206	(0,2,1,17,25)
NO. 207	(0,2,1,17,25)
NO. 208	(0,1,1,16,26)
NO. 209	(1,1,1,15,23)
NO. 210	(0,2,1,17,24)
NO. 211	(0,2,1,16,24)
NO. 212	(0,1,1,16,25)
NO. 213	(1,1,1,16,24)
NO. 214	(0,2,1,17,25)
NO. 215	(0,2,1,17,25)
NO. 216	(0,1,1,16,26)
NO. 217	(1,1,1,14,24)
NO. 218	(0,2,1,16,25)
NO. 219	(0,2,1,15,25)
NO. 220	(0,1,1,15,26)
NO. 221	(1,1,1,15,25)
NO. 222	(0,2,1,16,26)
NO. 223	(0,2,1,16,26)
NO. 224	(0,1,1,15,27)
NO. 225	(1,1,1,14,23)
NO. 226	(0,2,1,15,24)
NO. 227	(0,2,1,15,24)
NO. 228	(0,1,1,14,25)
NO. 229	(1,1,1,14,24)
NO. 230	(0,2,1,15,25)
NO. 231	(0,2,1,15,25)
NO. 232	(0,1,1,14,26)
NO. 233	(1,1,1,15,24)
NO. 234	(0,2,1,16,25)
NO. 235	(0,2,1,16,25)
NO. 236	(0,1,1,16,26)
NO. 237	(1,1,1,15,25)
NO. 238	(0,2,1,16,26)
NO. 239	(0,2,1,16,26)
